direction,horizon_sec,from_key,to_key,sample_index,var_rot_x_rad2,var_rot_y_rad2,var_rot_z_rad2,var_trans_x_m2,var_trans_y_m2,var_trans_z_m2,trace
G2K,0.2,g0,g2,276,1.552058576455e-05,1.494866689902e-05,1.710468512734e-05,1.023847437898e-05,1.212617759442e-05,4.804467486512e-06,7.474305725083e-05
G2K,0.2,g5,g7,396,1.798336945011e-05,1.773685880165e-05,1.861168537188e-05,3.610322629927e-06,4.440048421053e-06,2.325005673767e-06,6.470729034839e-05
G2K,0.2,g10,g12,516,1.849025808952e-05,1.826367641421e-05,1.902976618186e-05,4.695905281499e-06,6.416430635112e-06,2.797821082190e-06,6.969385768439e-05
G2K,0.2,g14,g16,612,1.838557837884e-05,1.808992264721e-05,1.910295414333e-05,5.595595801345e-06,7.466671641105e-06,3.024460222828e-06,7.166518283466e-05
G2K,0.2,g19,g21,732,1.837341336009e-05,1.805625626622e-05,1.915081704097e-05,5.506722668744e-06,7.140229493904e-06,3.015399531080e-06,7.124283836101e-05
G2K,0.2,g21,g23,780,1.837151773771e-05,1.805491486186e-05,1.914534696405e-05,5.446680623162e-06,6.981255700080e-06,2.987045109085e-06,7.098676099595e-05
G2K,0.2,g26,g28,785,1.841866529805e-05,1.810448397682e-05,1.920152262519e-05,5.678496957549e-06,7.109085794928e-06,3.081010906736e-06,7.159326555927e-05
G2K,0.2,g30,g32,789,1.854495642871e-05,1.825231641387e-05,1.928657932194e-05,6.013458950669e-06,7.410546001607e-06,3.300739772014e-06,7.280859688881e-05
G2K,0.2,g35,g37,794,1.907766681966e-05,1.888426453591e-05,1.956698687882e-05,6.562225540139e-06,7.962711175562e-06,3.992547101968e-06,7.604640205205e-05
G2K,0.2,g40,g42,799,2.003396675035e-05,1.997281120323e-05,2.017594529637e-05,1.381968861728e-05,1.748273169289e-05,7.710684495891e-06,9.919582805602e-05
G2K,0.8,g0,g8,153,2.332475627196e-05,1.798939101104e-05,3.756762513451e-05,6.377198673174e-05,7.411447604902e-05,3.466349961318e-05,2.514317348114e-04
G2K,0.8,g6,g14,261,4.527609033494e-05,4.252608029648e-05,5.165141399670e-05,3.982851609676e-05,6.057188045627e-05,3.194327226590e-05,2.717972534471e-04
G2K,0.8,g11,g19,334,4.420660879956e-05,4.038506357748e-05,5.369390764540e-05,5.987138556274e-05,8.676588444308e-05,3.771932695670e-05,3.226421769850e-04
G2K,0.8,g17,g25,459,4.372537560922e-05,3.949722514711e-05,5.433386230907e-05,5.986607664600e-05,8.157993323849e-05,3.630331128425e-05,3.153057842341e-04
G2K,0.8,g23,g31,567,4.412375295335e-05,3.985716070980e-05,5.465909594172e-05,6.018416864394e-05,7.880267734573e-05,3.559725333100e-05,3.132241089255e-04
G2K,0.8,g28,g36,657,4.406420084036e-05,3.981768760160e-05,5.477462274913e-05,6.115156621433e-05,7.879842708416e-05,3.505022693990e-05,3.136567314295e-04
G2K,0.8,g34,g42,765,4.407654413999e-05,3.979812150552e-05,5.477597634575e-05,6.059189000048e-05,7.940431459034e-05,3.578712159753e-05,3.144339681796e-04
G2K,0.8,g40,g48,788,4.558897502099e-05,4.154902522195e-05,5.587541872530e-05,6.423332979068e-05,8.424060336006e-05,3.982016689092e-05,3.313075190099e-04
G2K,0.8,g45,g53,793,5.219487968332e-05,4.933086942326e-05,5.945443173805e-05,7.091389639623e-05,8.945792521435e-05,4.817291623564e-05,3.695249186909e-04
G2K,0.8,g51,g59,799,6.890776978437e-05,6.815333821501e-05,7.076311240111e-05,2.075165904093e-04,2.614189886667e-04,1.108637430014e-04,7.876235424780e-04
G2K,1.0,g0,g10,120,2.327804772990e-05,1.670509309172e-05,4.035553267942e-05,6.910514721909e-05,7.934132499878e-05,4.142002914006e-05,2.702051748590e-04
G2K,1.0,g6,g16,216,4.841548666130e-05,4.434261779600e-05,5.784640899242e-05,5.730787640769e-05,8.875413572475e-05,4.640287401033e-05,3.430693995925e-04
G2K,1.0,g12,g22,312,4.606860298178e-05,4.033545105130e-05,6.048715733761e-05,8.168293428871e-05,1.175713901357e-04,5.194716875274e-05,3.980927045479e-04
G2K,1.0,g19,g29,424,4.647395453106e-05,4.045047381279e-05,6.156855805703e-05,8.048558183605e-05,1.080547715666e-04,5.031479707451e-05,3.873481368780e-04
G2K,1.0,g25,g35,520,4.668188358900e-05,4.061831929594e-05,6.181952790184e-05,8.201412394025e-05,1.067118383572e-04,4.947788609990e-05,3.873235791841e-04
G2K,1.0,g31,g41,616,4.664166684691e-05,4.053962007137e-05,6.185655663684e-05,8.203599826102e-05,1.073848994823e-04,4.987608466518e-05,3.883348259637e-04
G2K,1.0,g37,g47,712,4.656329824010e-05,4.055558159780e-05,6.199932134161e-05,8.124253777851e-05,1.081063360459e-04,5.046671962962e-05,3.889337946336e-04
G2K,1.0,g52,g62,787,6.573703192160e-05,6.281254807823e-05,7.327739188336e-05,1.194658445927e-04,1.464910152320e-04,8.205726344698e-05,5.498410951549e-04
G2K,1.0,g43,g53,793,4.677172334376e-05,4.086687739554e-05,6.231860261189e-05,8.262087944235e-05,1.089049347921e-04,5.098208769433e-05,3.924651052800e-04
G2K,1.0,g49,g59,799,5.356649565123e-05,4.880314928445e-05,6.631189354961e-05,9.087163137345e-05,1.141018600838e-04,5.995618070729e-05,4.336112106499e-04
G2K,2.0,g0,g20,15,4.202791855937e-05,3.442704045603e-05,5.968882152857e-05,8.373653344217e-05,8.654780177363e-05,7.663732138355e-05,3.830654371433e-04
G2K,2.0,g15,g35,105,6.341097676931e-05,5.240895873719e-05,9.143938515530e-05,1.471551772168e-04,1.962539453084e-04,1.286915092392e-04,6.793599524262e-04
G2K,2.0,g30,g50,195,6.456700769835e-05,5.305207891203e-05,9.268630236480e-05,1.487943805610e-04,1.914039673027e-04,1.300967330867e-04,6.806004699256e-04
G2K,2.0,g45,g65,285,6.386816614488e-05,5.309294045478e-05,9.363905202600e-05,1.492825825898e-04,1.876231693222e-04,1.270156315776e-04,6.745215421153e-04
G2K,2.0,g60,g80,375,6.445071605503e-05,5.312477463341e-05,9.317020185275e-05,1.468626196508e-04,2.041734844159e-04,1.350017130413e-04,6.967835096492e-04
G2K,2.0,g74,g94,459,6.491494198437e-05,5.315330126768e-05,9.286126367511e-05,1.465849818234e-04,2.045245677791e-04,1.349983087160e-04,6.970373652456e-04
G2K,2.0,g89,g109,549,6.470339048984e-05,5.314097576647e-05,9.325206209083e-05,1.501631024664e-04,1.789390508853e-04,1.243773975867e-04,6.645759792856e-04
G2K,2.0,g104,g124,639,6.416885091947e-05,5.317649932458e-05,9.384380141606e-05,1.488670409665e-04,1.950657355748e-04,1.296286891331e-04,6.847506173345e-04
G2K,2.0,g119,g139,729,6.559276083838e-05,5.319947359597e-05,9.249562045341e-05,1.450082497596e-04,2.095780708413e-04,1.392530822202e-04,7.051272577088e-04
G2K,2.0,g134,g154,799,9.390228045211e-05,8.476727309816e-05,1.140825201701e-04,2.558539256295e-04,3.055578304961e-04,1.989273465215e-04,1.053091176368e-03
